# OSU MPI Bi-Directional Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)        Validation
1                       1.49              Pass
2                       2.99              Pass
4                       5.98              Pass
8                      11.95              Pass
16                     23.86              Pass
32                     48.00              Pass
64                     95.32              Pass
128                   189.81              Pass
256                   381.91              Pass
512                   760.69              Pass
1024                 1519.47              Pass
2048                 3040.29              Pass
4096                 6075.52              Pass
8192                12154.50              Pass
16384               23246.76              Pass
32768               30209.67              Pass
65536               35289.02              Pass
131072              39258.16              Pass
262144              43800.25              Pass
524288              45215.55              Pass
1048576             45947.77              Pass
2097152             46329.56              Pass
4194304             46511.94              Pass
