# OSU MPI-CUDA Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       3.17              Pass
2                       3.19              Pass
4                       3.19              Pass
8                       3.16              Pass
16                      3.15              Pass
32                      3.14              Pass
64                      3.28              Pass
128                     3.98              Pass
256                     4.19              Pass
512                     4.28              Pass
1024                    4.33              Pass
2048                    4.48              Pass
4096                    4.94              Pass
8192                   12.84              Pass
16384                  13.97              Pass
32768                  19.92              Pass
65536                  21.29              Pass
131072                 24.09              Pass
262144                 29.61              Pass
524288                 40.58              Pass
1048576                62.15              Pass
2097152               105.65              Pass
4194304               191.83              Pass
