# OSU MPI Latency Test v7.5.2
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)        Validation
1                       2.93              Pass
2                       2.99              Pass
4                       2.95              Pass
8                       2.90              Pass
16                      2.89              Pass
32                      2.89              Pass
64                      2.95              Pass
128                     3.65              Pass
256                     3.71              Pass
512                     3.81              Pass
1024                    3.83              Pass
2048                    3.96              Pass
4096                    4.51              Pass
8192                    4.93              Pass
16384                   5.86              Pass
32768                  11.62              Pass
65536                  13.09              Pass
131072                 15.80              Pass
262144                 21.21              Pass
524288                 32.10              Pass
1048576                53.60              Pass
2097152                96.84              Pass
4194304               183.04              Pass
